Designator,Mid X,Mid Y,Rotation,Layer
C1,176.25,-99.3,0.0,bottom
C10,165.85,-98.45,0.0,bottom
C2,176.25,-102.3,0.0,bottom
C3,176.25,-100.8,0.0,bottom
C4,176.25,-103.8,0.0,bottom
C5,171.475,-108.525,180.0,top
C6,170.9,-104.975,180.0,top
C7,165.3,-99.85,0.0,top
C8,164.55,-101.85,270.0,top
C9,165.05,-104.125,180.0,bottom
J9,173.0,-101.7,90.0,top
R1,168.975,-104.95,180.0,bottom
R2,167.1,-105.425,0.0,bottom
R3,168.8,-103.975,180.0,bottom
U1,169.6,-101.45,90.0,top
U2,165.5,-101.4,90.0,bottom
