Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2, C3, C4, C5, C7",0603,6,"10uF, 16v",C96446
C10,0603,1,33nF,C21117
"C6, C8",0402,2,"100nF, 16v",C1525
C9,0402,1,"2.2uF, 10v",C12530
"J1, J2, J5, J6",Keystone_6102,4,Keystone 6102,
"J10, J11",Precidip 852-10-004-20-001101,2,Precidip 852-10-004-20-001101,
"J3, J4, J7, J8",Keystone_6100,4,Keystone 6100,
J9,JST_PH_S2B-PH-K_1x02_P2.00mm_Horizontal,1,JST PH 2mm horizontal,C160237
"R1, R3",0402,2,10k,C25744
R2,0402,1,3.3k,C25890
U1,WQFN-16-1EP_3x3mm_P0.5mm_EP1.68x1.68mm_ThermalVias,1,DRV8213RTER,
U2,SOT-23-5,1,LP2981-3.3,C129997
